Stock,Time,mean,2.50%,97.50%,20%
N[1,1,5410.894271,2539.647226,9343.310649,3929.707134
N[1,2,6103.797792,3327.594079,9789.706214,4686.280425
N[1,3,6867.584494,4295.696696,10281.82982,5550.859002
N[1,4,7700.08935,5380.984734,10809.79134,6522.408207
N[1,5,8643.660197,6402.050332,11591.54573,7531.556059
N[1,6,9615.970953,7306.876323,12631.73386,8475.236439
N[1,7,10602.65019,8206.571259,13785.44383,9412.894899
N[1,8,11563.66331,8952.59329,15201.98749,10263.00401
N[1,9,12473.49322,9688.651664,16405.14825,11097.26764
N[1,10,13323.52691,10528.87751,17188.86841,11907.26333
N[1,11,14340.79891,11450.57291,18283.04693,12850.4594
N[1,12,15185.84892,12112.91201,19281.943,13615.63488
N[1,13,15955.2129,12848.83072,19962.96306,14403.72037
N[1,14,16634.18619,13393.66781,20828.98555,15051.91093
N[1,15,17244.00579,14108.03567,21223.66681,15725.64831
N[1,16,17583.76044,14449.15118,21277.0638,16145.72613
N[1,17,17786.23693,14579.50829,21325.95358,16358.04813
N[1,18,17939.68475,14373.42843,21444.28092,16488.5088
N[1,19,18320.37774,14743.24343,21840.15533,16889.79149
N[1,20,18706.81813,15161.11961,22303.06333,17256.906
N[1,21,18999.47623,15122.5149,22819.30257,17515.50553
N[1,22,19233.56269,15306.08483,23133.89018,17714.60093
N[1,23,19419.59781,15546.84682,23201.66457,17889.92226
N[1,24,19763.11776,16100.2547,23646.18344,18226.00369
N[1,25,20080.94232,16444.36348,24146.17153,18502.21893
N[1,26,20478.65818,16664.80446,25065.98073,18794.99212
N[1,27,20865.70764,17055.0903,26006.07979,19087.76905
N[1,28,21252.49366,17436.34408,26500.54951,19379.75139
N[1,29,21083.75359,17231.10302,26055.28982,19251.80953
N[1,30,21195.63826,17113.30426,26614.40356,19249.85056
N[1,31,21294.99075,17238.39585,26831.99701,19311.09041
N[1,32,21360.93625,16850.35235,27456.52495,19239.67683
N[1,33,21414.04602,16654.87985,27833.97402,19206.47362
N[1,34,21467.96138,16496.57168,28139.60817,19178.23397
N[1,35,21516.63563,16475.72146,28312.86582,19169.74094
N[1,36,21556.399,16517.19755,28476.7514,19176.78249
N[1,37,21589.14653,16587.81437,28395.78809,19214.90704
N[1,38,21620.76377,16906.58411,28261.20313,19278.99263
N[1,39,21720.23214,16736.19858,28875.96862,19273.44092
N[1,40,21810.07898,16636.7836,29294.55728,19262.53977
N[1,41,21904.73433,16654.71727,29804.59923,19301.86653
N[1,42,21994.1695,16700.1354,30081.05746,19319.2437
N[1,43,22089.56067,16834.00799,30363.1913,19382.51892
N[1,44,22193.49939,16995.9246,30399.77438,19469.94552
N[1,45,22300.54852,17179.42315,30466.26483,19577.55323
N[1,46,22456.73775,17461.10372,30540.82984,19715.48211
N[1,47,22345.83408,17131.01195,30956.21681,19568.52838
N[2,1,1517.701461,1012.273753,2226.958333,1260.483132
N[2,2,1641.558164,1150.941955,2297.55535,1399.396579
N[2,3,1844.923973,1306.923,2464.567702,1600.533845
N[2,4,2039.267415,1463.304316,2658.285329,1791.963845
N[2,5,2216.650448,1622.678083,2829.789152,1968.909465
N[2,6,2377.976323,1799.019938,2984.485643,2135.701346
N[2,7,2523.732516,1985.830089,3153.978905,2286.577158
N[2,8,2658.086988,2169.779822,3334.832108,2425.405488
N[2,9,2757.739861,2256.950032,3597.39735,2510.260495
N[2,10,2849.816883,2334.186663,3842.467072,2578.891525
N[2,11,2945.788211,2403.67888,4091.635709,2638.145334
N[2,12,3046.240059,2458.521612,4327.947966,2689.439327
N[2,13,3054.985796,2479.780901,4341.398952,2705.844381
N[2,14,3072.041898,2501.266231,4348.110729,2723.812304
N[2,15,3097.333233,2523.89235,4279.174564,2745.606743
N[2,16,3100.17559,2535.739937,4224.209518,2756.813909
N[2,17,3062.410467,2534.653322,4080.439831,2754.834084
N[2,18,3014.114096,2514.790449,4007.185064,2737.130989
N[2,19,2971.895515,2495.887442,3833.179868,2725.2233
N[2,20,2932.920574,2485.940415,3607.141972,2716.561919
N[2,21,2836.506021,2336.696881,3364.602188,2645.649278
N[2,22,2744.561189,2151.001603,3217.466029,2538.555108
N[2,23,2697.811724,2025.272356,3198.507424,2453.369031
N[2,24,2666.38062,1938.00666,3188.564567,2385.215355
N[2,25,2663.278086,1892.372205,3191.48998,2382.694233
N[2,26,2652.057549,1885.478658,3185.2379,2355.775992
N[2,27,2691.417805,2023.314903,3196.572414,2434.799608
N[2,28,2779.469783,2262.321191,3241.308874,2588.868313
N[2,29,2802.165643,2290.648276,3277.562323,2613.368853
N[2,30,2799.572014,2193.686055,3327.86952,2600.981565
N[2,31,2796.234768,2147.369265,3358.269157,2591.618542
N[2,32,2787.757756,2112.594135,3339.888787,2584.746193
N[2,33,2777.267383,2110.433669,3304.710187,2572.130223
N[2,34,2763.394791,2124.899302,3268.659175,2554.080009
N[2,35,2776.060428,2109.96824,3297.858467,2568.548417
N[2,36,2781.486914,2126.310294,3302.158112,2575.646585
N[2,37,2784.562397,2170.01445,3295.034742,2582.105308
N[2,38,2806.225401,2160.441879,3370.841148,2598.044476
N[2,39,2823.542936,2169.204658,3436.199071,2617.488445
N[2,40,2840.373439,2204.853168,3477.206912,2632.192308
N[2,41,2854.452414,2246.950724,3503.488714,2645.249987
N[2,42,2869.733829,2306.881093,3519.09111,2660.057695
N[2,43,2886.715493,2390.317596,3501.283118,2682.946776
N[2,44,2868.755223,2333.179844,3478.752548,2662.116356
N[2,45,2849.496074,2300.539463,3419.915348,2646.578536
N[2,46,2826.382271,2304.019509,3338.114711,2633.092745
N[2,47,2837.694682,2300.866454,3379.515386,2642.797991
N[3,1,3264.225318,1182.501614,6794.202311,2072.437526
N[3,2,3672.90064,1538.690124,7082.864236,2494.776149
N[3,3,4131.36166,1978.275013,7406.326608,2972.080451
N[3,4,4628.552138,2516.151213,7685.311858,3511.377856
N[3,5,5175.453069,3132.317668,8014.854227,4121.952036
N[3,6,5763.998418,3865.872497,8358.851826,4797.098367
N[3,7,6380.010143,4680.863751,8619.939089,5530.550934
N[3,8,7042.276907,5462.451687,9082.053165,6262.673513
N[3,9,7659.698454,6070.227432,9646.441251,6885.215689
N[3,10,8316.896486,6663.073893,10312.74645,7544.989306
N[3,11,8997.980617,7230.272231,11063.21644,8198.29045
N[3,12,9742.394355,7920.477781,11879.99672,8918.618738
N[3,13,10413.20428,8457.06264,12680.03802,9537.513403
N[3,14,11084.00975,9002.908566,13496.50117,10145.06214
N[3,15,11705.90821,9649.580248,14139.53523,10753.24803
N[3,16,12306.08239,10239.59176,14846.70781,11324.40499
N[3,17,12922.5754,10817.87638,15612.54994,11900.43045
N[3,18,13394.05884,11215.2274,16346.23353,12332.91325
N[3,19,13762.51632,11531.14933,16816.39081,12668.70602
N[3,20,14028.27464,11762.50203,17099.78264,12915.32415
N[3,21,13993.01748,11523.77097,16869.63543,12917.61992
N[3,22,13923.01856,11207.17423,16649.84442,12840.11784
N[3,23,14006.87285,11030.02006,16806.43066,12863.2826
N[3,24,14232.97408,11296.10828,17112.47443,13082.37267
N[3,25,14420.41147,11162.62769,17593.90036,13192.43243
N[3,26,14570.23197,11183.82584,17937.07244,13307.14629
N[3,27,14701.41868,11277.79794,18179.703,13400.88712
N[3,28,14807.86583,11502.60239,18250.56452,13495.72979
N[3,29,14953.62537,11443.27664,18603.29282,13591.16491
N[3,30,15084.42907,11481.54052,19072.08995,13637.13869
N[3,31,15202.33497,11437.30438,19423.49748,13733.53876
N[3,32,15306.81044,11605.1104,19742.03698,13782.94761
N[3,33,15397.91013,11624.46526,19902.59935,13853.90328
N[3,34,15489.16243,11848.61332,19978.92748,13920.25291
N[3,35,15585.15955,12072.50597,20131.42934,14010.85348
N[3,36,15667.61928,12323.55266,20047.72392,14079.58487
N[3,37,15777.76094,12678.37253,20007.29695,14248.18988
N[3,38,15854.49109,12766.64966,20094.38585,14295.48931
N[3,39,15849.29794,12549.11364,20439.69475,14228.82198
N[3,40,15828.29745,12443.99884,20459.80739,14187.93278
N[3,41,15821.96872,12378.97201,20546.44577,14163.44561
N[3,42,15814.96587,12440.22032,20606.1298,14146.70364
N[3,43,15825.18605,12549.01307,20349.06616,14207.32593
N[3,44,15828.65478,12417.95382,20590.26451,14163.49079
N[3,45,15834.30433,12413.77724,20742.59174,14150.33873
N[3,46,15839.09022,12469.83447,20645.3419,14183.33086
N[3,47,15821.21577,12153.59222,21102.92224,14085.07973
N[4,1,186.015751,63.6239201,404.144286,113.1473638
N[4,2,208.0951795,77.8289489,431.1298314,132.1055964
N[4,3,232.7211897,95.32194657,463.2681231,153.8120928
N[4,4,259.9203781,115.9187819,492.4304875,179.145959
N[4,5,290.2621743,140.8489946,523.0276796,207.7545001
N[4,6,323.7788617,169.8660036,554.4531825,240.7772985
N[4,7,361.071679,203.816578,590.033213,278.1093935
N[4,8,402.150997,243.3211619,625.9690528,319.7396854
N[4,9,447.0652921,288.8208335,663.5258901,366.3469637
N[4,10,496.5655376,330.7669955,716.8749936,413.7426557
N[4,11,550.3005026,377.9692452,774.1973654,466.9556834
N[4,12,607.872086,429.9684244,835.0335485,522.5856963
N[4,13,669.026018,485.7751674,894.9017761,583.3255158
N[4,14,734.0226057,548.593753,954.8357621,648.6097232
N[4,15,802.5595844,615.6878307,1023.202787,716.404224
N[4,16,881.0750658,690.7974839,1107.744169,792.4293062
N[4,17,994.5147712,799.2997422,1244.855133,898.0717055
N[4,18,1081.715202,870.0911742,1356.18615,976.1325119
N[4,19,1174.456571,938.0421017,1496.833195,1054.964071
N[4,20,1267.414526,1013.492057,1611.135895,1138.895477
N[4,21,1340.856436,1067.578307,1703.300726,1205.628128
N[4,22,1411.209214,1126.466481,1778.323934,1272.432305
N[4,23,1496.994493,1185.967689,1899.650407,1346.213968
N[4,24,1578.00484,1255.922964,1989.552959,1423.858285
N[4,25,1648.314465,1293.862497,2087.489262,1484.464099
N[4,26,1711.468642,1336.506769,2156.772447,1542.931097
N[4,27,1769.68576,1382.691679,2218.789035,1600.761156
N[4,28,1821.35072,1443.482321,2249.215448,1655.781726
N[4,29,1873.956394,1481.962847,2300.01664,1705.701955
N[4,30,1937.833217,1520.351052,2401.240589,1762.46789
N[4,31,1996.531369,1576.190516,2470.423751,1818.19019
N[4,32,2049.957106,1652.142731,2513.487156,1872.237631
N[4,33,2082.696913,1643.218995,2572.79591,1897.339094
N[4,34,2110.788605,1669.316113,2601.306853,1921.377494
N[4,35,2154.761017,1690.401404,2680.387723,1955.894275
N[4,36,2194.59403,1730.760572,2728.466105,1990.392049
N[4,37,2231.367595,1784.882748,2765.215139,2024.890264
N[4,38,2270.920962,1815.089341,2827.941915,2053.582638
N[4,39,2300.865759,1802.175692,2923.485611,2065.690001
N[4,40,2329.894481,1801.825212,3009.586872,2079.325891
N[4,41,2356.462509,1813.424439,3073.188528,2095.24611
N[4,42,2380.942543,1838.521204,3098.567645,2114.542901
N[4,43,2405.049204,1874.410278,3133.067157,2136.160865
N[4,44,2434.564394,1868.585226,3222.042768,2145.997888
N[4,45,2462.01195,1875.771374,3309.909135,2156.644516
N[4,46,2490.236097,1895.894912,3385.892932,2176.48067
N[4,47,2518.188523,1917.257055,3419.795113,2196.783662
